Feature,Implementation,
MET-based calories,Compendium of Physical Activities standard formulas,
Heart rate calories,Keytel formula for gender/age/weight-adjusted burn,
Power-based calories,Cycling/rowing with 24% human efficiency factor,
Running pace calories,ACSM VO2 formula with grade adjustment,
Live tracking,Timer with simulated Bluetooth HRM integration,
HR zones,Standard (max HR %), Karvonen (HRR), or lactate threshold,
Zone time analysis,Real-time distribution across 6 zones,
Calorie dashboard,Weekly breakdown with goal tracking,
Wearable sync,Strava, Apple Health, Garmin Connect import,
Route tracking,GPS path storage with elevation profile,

Generated by Kimi AI
